('16673503-1pc-head-m-spain', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068424.jpg?v=1584384481', '1PC Head', 'M', 622),
('16673503-1pc-head-m-france', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068424.jpg?v=1584384481', '1PC Head', 'M', 622),
('16673503-grinder-head-set-m-china', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068425.jpg?v=1584384482', 'Grinder Head Set', 'M', 2750),
('16673503-grinder-head-set-m-united-states', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068425.jpg?v=1584384482', 'Grinder Head Set', 'M', 2624),
('16673503-grinder-head-set-m-spain', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068425.jpg?v=1584384482', 'Grinder Head Set', 'M', 2850),
('16673503-grinder-head-set-m-france', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068425.jpg?v=1584384482', 'Grinder Head Set', 'M', 2850),
('16673503-1pc-head-m-australia', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068424.jpg?v=1584384481', '1PC Head', 'M', 622),
('16673503-1pc-head-m-italy', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068424.jpg?v=1584384481', '1PC Head', 'M', 622),
('16673503-1pc-head-m-belgium', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068424.jpg?v=1584384481', '1PC Head', 'M', 622),
('16673503-grinder-head-set-m-australia', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068425.jpg?v=1584384482', 'Grinder Head Set', 'M', 2850),
